0,1;41;0,005464741
0,01;61;4,71E-05
0,001;82;5,21E-07
0,0001;104;5,25E-09
0,00001;126;5,87E-11
0,000001;149;6,18E-13
0,0000001;172;1,70E-14
0,00000001;196;2,00E-14
0,000000001;219;2,00E-14
1,00E-10;243;2,00E-14
;;
0,1;83;0,006486871
0,01;119;6,16E-05
0,001;158;4,96E-07
0,0001;197;5,14E-09
0,00001;238;5,20E-11
0,000001;280;1,30E-12
0,0000001;323;3,50E-14
0,00000001;365;3,50E-14
0,000000001;408;3,50E-14
1,00E-10;452;3,50E-14
;;
0,1;28;0,003513938
0,01;45;4,72E-05
0,001;63;2,28E-07
0,0001;81;4,10E-09
0,00001;99;5,87E-11
0,000001;118;8,22E-13
0,0000001;137;1,20E-14
0,00000001;157;1,60E-14
0,000000001;176;1,60E-14
1,00E-10;195;1,60E-14
;;
0,1;32;0,005363957
0,01;51;4,62E-05
0,001;70;5,23E-07
0,0001;90;5,21E-09
0,00001;110;6,14E-11
0,000001;131;7,03E-13
0,0000001;152;2,50E-14
0,00000001;173;2,30E-14
0,000000001;195;2,30E-14
1,00E-10;217;2,30E-14
